SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
W-Msc-555222,152586,Bolma,recens,NA,Animalia,Mollusca,Gastropoda,Patellogastropoda,Turbinidae,Gastropods,Bolma recens,NA,NA,NA,NA,NA
SLB-183337,152615,Oediceroides,wolffi,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Crustaceans,Oediceroides wolffi,NA,NA,NA,NA,NA
NZ-6299,152618,Princaxelia,abyssalis,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,Crustaceans,Princaxelia abyssalis,NA,NA,NA,NA,NA
W-Msc-387373,152676,Propeamussium,alcocki,NA,Animalia,Mollusca,Bivalvia,Ostreoida,Propeamussidae,Bivalves,Propeamussium alcocki,NA,NA,NA,NA,NA
NZ-24268,152680,Argyrometra,mortenseni,NA,Animalia,Echinodermata,Crinoidea,Comatulida,Antedonidae,Echinoderms,Argyrometra mortenseni,NA,NA,NA,NA,NA
SLB-184045,152891,Corallianassa,articulata,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Crustaceans,Corallianassa articulata,NA,NA,NA,NA,NA
W-Bch-444394,152953,Zosimus,actaeoides,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Crustaceans,Zosimus actaeoides,NA,NA,NA,NA,NA
SLB-184586,153038,Nassarius,reeveanus,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Gastropods,Nassarius reeveanus,NA,NA,NA,NA,NA
W-Oph-243123,153089,Asteroschema,migrator,NA,Animalia,Echinodermata,Ophiuroidea,Phrynophiurida,Asteroschematidae,Echinoderms,Asteroschema migrator,NA,NA,NA,NA,NA
SLB-184702,153112,Cheiroplatea,pumicicola,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Pylochelidae,Crustaceans,Cheiroplatea pumicicola,NA,NA,NA,NA,NA
W-Pol-327841,153141,Eunoe,kermadeca,NA,Animalia,Annelida,Polychaeta,Aciculata,Polynoidae,Worms,Eunoe kermadeca,NA,NA,NA,NA,NA
W-Hol-529072,153452,Psolidium,normani,NA,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Echinoderms,Psolidium normani,NA,NA,NA,NA,NA
W-Msc-570473,153505,Fissurella,latimarginata,NA,Animalia,Mollusca,Gastropoda,Patellogastropoda,Fissurellidae,Gastropods,Fissurella latimarginata,NA,NA,NA,NA,NA
